username,verified,top_hashtags
rosaliebriere,FALSE,"viral, trompeloeil, patisserie, tastetest, montreal, dupe, part2, quebec, stromuald, homesense, winners, trouvailles, ouverture, magasin, tour"
thekimedit,FALSE,"kbeauty, koreanskincare, skincareroutine, skincareproducts, skincare, glowyskin, skintok, glassskin, glowingskin, healthyskin, purito, fyp, glowcream, makeup, beauty"
thebeautymolecule,FALSE,"skincaretiktok, slugging, ceravehealingointment, skincarehumor, balsamicvinegar, elmobalsamicvinegar, dysonairwrap, dysonairwrapcompletelong, dysonairwraptips, dysonairwrapcomplete, vincabluerose, dyson, dysonairwrapcurls, dysonairwrapunboxing, viralmakeup"
im.gis3lle,FALSE,"rhodeskin, fyp, rhode, peptideliptreatment, makeuplooks, tiktokban, tiktok, nofilter, nofiltermakeup, ugc, pickyreview, gopicky, pickyxdeardahlia, deardahlia, blush"
im.gis3lle,FALSE,"rhodeskin, fyp, rhode, peptideliptreatment, makeuplooks, tiktokban, tiktok, nofilter, nofiltermakeup, ugc, pickyreview, gopicky, pickyxdeardahlia, deardahlia, blush"
Rosemarie.loves,FALSE,"tiktokshop, tiktokmademebuyit, fashion, tiktokshopfinds, kbeauty, makeup, koreanskincare, beauty, cppartner, food, skincare, clothing, heels, valentinesday, lipstick"
victoriahui,FALSE,"pommeto, kerastase, kerastasepremiere, blowout, blowouthair, torontosalon, queenwest, ad, valentinesday, ootd, toronto, fyp, fashion, springfashion, selfiewall"
edli.ugc,FALSE,"kbeauty, koreanskincare, skincare, kbeautyskincare, fyp, skincareroutine, glassskin, stylekorean, medicube, medicubeambassador, skintok, skincaretips, koreanskincareproducts, tiktokshopfinds, skin1004"
yt.jichelleirish,FALSE,"fyp, fypage, provincelife, quezonprovince, ytjichelleirish, jinroph, hitejinroph, lifewithoutatrendingaudio, trend, foryou, tiktokviral, episode1, lifeintheprovince, slowliving, vlogseries"
creativelyamanda,FALSE,"starwars, fyp, ugccreator, fypage, revengeofthesith, starwarstiktok, seasonoftheforce, ugc, starwarsoutfits, disneyworld, skincare, may4th, r2d2, hollywoodstudios, summerfridays"
sailormina_,FALSE,"kbeauty, xg, coachella, kpop, dreamacademy, katseye, makeup, cbeauty, eyeshadowpalette, douyinmakeup, creatorsearchinsights, babymonster, babymonsterworldtour, asmr, koreanskincare"
ugc_byivanna,FALSE,"ugccommunity, grwm, moodboard, ugccontentcreator, unrecognizablemakeup, makeup, wolfiecindy, cancunmexico, castoroil, detox, castoroilbenefit, guthealth, wellnesstips, naveloiling, justagirl"
by_ashmariee,FALSE,"fyp, selfcare, selflove, dayinthelife, selfimprovement, girlythings, minivlog, skincare, skincareroutine, justagirl, fragrance, perfumereview, nailinspo, bodycare, nailjunkie"
tatiana.ptrnina,FALSE,"fyp, skincareviral, skincarecoreano, tonerskincare, glowing, skincare, skincareroutine, koreanskincare, makeup, medicube, kbeauty, medicubeambassador, ugccreator, makeuptutorial, glassskin"
trxlyadria,FALSE,"fyp, kbeauty, makeup, koreanmakeup, fwee, skincare, koreanskincare, viral, glossylips, trend, lipcombo, makeuptok, beauty, yesstyle, yesstyleinfluencers"
ugcwithedwina,FALSE,"prpackagehaul, rimmellondon, lipbalm, sunmerfridays, ugcexample, ugcskincare"
christineeugc,FALSE,"ugc, foryou, kbeauty, ugccreator, koreanskincare, skincare, skintok, foryourpage, ugcexample, ugccommunity, glassskin, skincareroutine, beautytok, skincaretips, numbuzin"
renlauskin,FALSE,"kbeauty, koreanskincare, skincare, glassskin, skincareroutine, hwahae, reedleshot, centellian24, purito, numbuzin, pickyreview, gopicky, doublechin, sensitiveskin, skintok"
jelloskinsecrets,FALSE,"koreanskincare, skincarecommunity, kbeauty, glassskin, anua, skintok, anuaambassador, skincareroutine, soothingserum, panthenol, yesstyle, kskincare, skincare, medicube, medicubeambassador"
skin_likee,FALSE,"cheapperfumevsexpensive, bestperfume, fragnancetiktok, missdior, missdioreaudeparfum, fyp, rarebeauty, luxuryperfume, fragrancetok, makeupfyp, jamescharlespalette, charlesandjameslight, morphejamescharlespalette, morphexjamescharlespalette, jamespalettehighlighter"
hola.danielaxoxo,FALSE,"skincareroutine, skincareproducts, makeuphacks, beautytips, glowyskin, affordablemakeup, holidaymakeup, mediheal, holidaygiftidea, blemishfighter, vitaglowpad, bouncyglow, tonerpads, amazonbestseller, sahm"
vera_kskincare,FALSE,"koreanskincare, skincare, kskincare, kbeauty, capcut, skincareroutine, koreanskincareproducts, yesstyle, yesstyleinfluencers, glassskin, kskincareproducts, routine, anua, sensitiveskin, color"
skinbyhelen,FALSE,"crybaby, popmart, blindbox, scam, yttp_partner, bodycareroutine, glowyskin, showerroutine, ad, costcofinds, starbucksmatcha, lavendermatcha, biodance, costcofindscanada, hairsalontiktok"
ellasolves,FALSE,"ellasolves, ellaafterdark, justagirlwhosolves, greenscreen, foryou, fyp, truecrimecommunity, truecrimeobsessed, truecrimetime, crimetok, truecrimers, truecrimestory, crimetiktok, truecrimeanytime, truecrimetok"
skinwithe1,FALSE,"skincareroutine, kbeauty, koreanskincare, skincarecommunity, skincaretips, skincareaddict, skincareproducts, skincare101, skincare, ugc, beauty, skininfluencer, skincareviral, skincaremusthave, aesthetic"
joselinastyle,FALSE,"kbeauty, koreanskincare, skincare, glassskin, beauty, skincaretips, koreanbeauty, glowyskin, skincareroutine, fyp, glow, makeup, yesstyleinfluencers, yesstyle, haircare"
starfaceorganics,FALSE,"lavibes, coffeeshop, placestogo, losangeleslife, coffeetalk, coffeeloversoftiktok, coffeespot, coffeetok, coffeebar, placestovisit, strawberrymatcha, coffeedate, matchalatte, coffeeshops, matchalover"
ishmadiaries,FALSE,"beautytok, myrae, glowfromwithin, vitamine, estained, heatsypeasy, estainedheatsypeasy, heatprotectant, heatprotection, hairspray, makeup, kbeauty, makeupaddict, fyp, medicube"
itshazeldiaries,FALSE,"ootd, outfit, grwm, makeup, grwmmakeup, skincare, grwmroutine, outfitinspo, makeuplook, maybelline, contentcreator, noheatcurls, birthday, cafe, manifestation"
skinwithclods,FALSE,"revgen, makeuprevolution, blush, kbeauty, koreanskincare, kbeautyskincare, lorealistaruk, lorealparis, ad, oliveyoung, loreal, stylevana, koreanmakeup, skincare, lipoil"
greyyychoi,FALSE,"corporategirlies, corporatelife, adayinmylife, pov, fyp, toronto, rolex, rolexwatch, datejust, watches, luxurywatches, outfitinspo, fitcheck, outfits, businesscasual"
heartz4pitii,FALSE,"wonyoungism, selfcare, koreanskincare, glassskin, mixsoon, snailmucin, kbeautyaddict, kbeauty, skincareroutine, skintok, kbeautytok, veganskincare, mixsoonbeanessence, veganmucin, hydratedskin"
mattrandon,FALSE,"skincaretiktok, skincareviral, beautytutorial, beautyhack, beautyroutine, skincarehacks, beautyreview, morningroutine, grwmroutine, comedyskit, comedytiktok, comedyvideos, womenpower, womenoftiktok, womanpower"
melon_park,FALSE,"fyp, mukbang, koreanfood, food, foodie, friendsgiving, friendsgivingrecipes, thanksgiving, thanksgivingdinner, thanksgivingrecipes, eating, dancechallege, rawmarinatedcrab, rawcrab, koreanrawmarinatedcrab"
_lilyis,FALSE,"kbeauty, kbeautyproducts, koreanskincaretiktok, koreanbeauty, skincareempties, koreanskincaretips, skincareforbeginners, kbeautyfinds, skincaretiktok, skincaretips, glassskin, skincareroutine, glowyskin, koreanstyles, skincareroutines"
abbyrosemaureen,FALSE,"skincare, acne, skincareroutine, ad, dermaangel, dermaangelus, smartpicksforyouracne, acnepatch, invisibleacnepatch, acnecare, deepacnecare, porecare, darkspotcare, postacnecare, clearskinroutine"
lilac__05,FALSE,"creatorsearchinsights, kbeauty, koreanskincare, kmakeup, exfoliateforlip, lips, lipexfoliator, liphealth, howtoexfoliatelips, lipbalmrecommendation, frudia, amazonkorea, stoppickinglip, liquidblush, yesstylemusthaves"
bethyful_kbeauty,FALSE,"kbeauty, koreanskincare, creatorsearchinsights, skincarerecommendations, arencia, acneproneskin, creatorsearchinsight, oilyskin, cleanser, arenciacleanser, mochicleanser, arenciamochicleanser, oilyskincareroutine, cleanserrecommendation, abib"
lovemisomeskin,FALSE,"partipost, sp, ad, kopitiamfoodhall, watsonssg, europacespotlesspowerchallenge, wykingcookware, cooklikeapro, nonstickperformance, effortlesscooking, btodoor, lockinv3, smartlocksg, homesecuritysg, harirayapromo"
ugcwithkpm,FALSE,"kbeauty, skintok, koreanskincare, koreanbeauty, beautytok, koreanskin, glowingskin, viralskincare, ugccreator, beautybloggers, koreanskincareproducts, skinglow, beautycreator, koreanskincareroutine"
_anjello,FALSE,"skincare, capcut, kbeauty, koreanskincare, skintok, korean, fyp, pichyreview, gopicky, skincareroutine, pr, cream, antiaging, koreanskincareproducts, gifted"
prettywrinkles,FALSE,"beautyaesthetic, bathroomaesthetic, bathroomorganization, pinterestaesthetic, bathroomdesign, girlmess, bathroomdecorideas, pinterestinspired, wellnessfoodie, healthybreakfast, yogurtbowl, superfoods, healthybreakfastideas, deliciousfoods, wellnesstips"
