Column1,account,follower,following,first_upload_date
353,rosaliebriere?fbclid=PAZXh0bgNhZW0CMTEAAaepfQkAsFCSo2eCoHPQD2ECBwhUxyRaL1ZJbXzcnAaOrS0OXCX_7n1m3xMUbg_aem_gfW0rSIo0x9Yefb-PvdJiw,5374,1317,
354,elizajeanne7,289100,78,
355,skinbygill,80700,837,
356,imchaee,97000,47,
357,skinbykristin,507800,1168,
358,sallykim7,21,17,
359,iamkareno,72900,428,2020-09-16
360,tanicha_rose,191700,263,
361,immbunny,165000,666,
362,alessyafarrugia,3200000,1148,2019-09-27
363,thekimedit,900,298,
364,thebeautymolecule,3239,1112,
365,im.gis3lle,1085,685,
366,im.gis3lle,1085,685,
367,im.gis3lle,1085,685,
368,im.gis3lle,1085,685,
369,Rosemarie.loves?fbclid=PAZXh0bgNhZW0CMTEAAadS5tb5ewToKgmGL2mKnV_K8EiorHEJxN9lP_C-XT6m3IOeCQn9dKZiTEFqRg_aem_pqI2D8BYRAF66f-89b86hg,1709,3207,
370,nikkioswin,1026,820,
371,aylennpark,1500000,166,
372,miajada,0,0,
373,theglownarrative,434100,1150,
374,vivianyunn,224500,744,
375,sarah_novio,109900,1546,
376,madisonortizz,19300,1095,
377,itscasuallyhannah,87400,285,
378,cosygirlparis,44800,5798,
379,shakespearesidechick,147900,1055,
380,yt.jichelleirish,1167,2698,
381,newa_supriya,576,159,
382,creativelyamanda?_t=ZT-8uMWpojbCzG&_r=1,959,612,
383,ugcwithb__,244,297,
384,sophia.cathyy,8,91,
385,sailormina_?_t=8k3BhwLiR7T&_r=1&fbclid=PAZXh0bgNhZW0CMTEAAaebabwhvUeQ5gMDpdHwEZBGBFmtXsHo_zlauWig5raY0dNrKwtiGxWRkMJYNw_aem_jQGhxv6Y-ph-GC0UhvM-fQ,2093,1089,
386,glowinthegram?fbclid=PAZXh0bgNhZW0CMTEAAafHuitKO4YvqkxR7zig_FW05FyRBsKkTMBwxNYWMhE-7cczeWj9Fo7Ls9Am3A_aem_QhFBc8j4m1Rw7p2tV-GJJw,430,184,
387,ugc_byivanna,1068,161,
388,aeht.ugc,3115,135,
389,honest_recs,647,228,
390,by_ashmariee,1139,1218,
391,almostsimplysky?_t=8rNiD1WnK9K&_r=1,779,747,
392,amirka08,267,144,
393,chilibeauty1201,2112,117,
394,abigail.ugc.creator?lang=en,39,19,
395,trxlyadria,1654,1119,
396,skinwsara,114,85,
397,miralii.m,135,193,
398,annahostriakova?_t=8iLoLiSrL7d&_r=1&fbclid=PAZXh0bgNhZW0CMTEAAacYEZyq2-WsTRuY3AIzssIjoL83suHl02xxIngx6me11sWuD3FGuh9QpMXswA_aem_AXQSaVauKq_bnQAjltLnJg,136,97,
399,ibubblii,536,163,
400,beautyfanaticjenn,31,21,
401,renlauskin,1070,203,
402,jelloskinsecrets,1467,961,
403,ugc_adriiana?_t=8kv4gvrdvsk&_r=1,81,113,
404,skin_likee?_t=8jap3RP2EIw&_r=1,3029,139,
405,glowological,1069,619,
406,vera_kskincare,2730,969,
407,luv4ikeuuu,3179,763,
408,kat.iveth1,2469,999,
409,ugcale?_t=8lAkxrn7aAs&_r=1,980,1098,
410,auliarizkiana7,70600,272,
411,dr.farzan,2000000,2,
412,skinbyhelen,116000,616,
413,skinwithe1,1162,972,
414,ugcwithmeriem?is_from_webapp=1&sender_device=pc,936,207,
415,joselinastyle,1684,1531,
416,starfaceorganics,2308,273,
417,poppymarchh,105700,3132,
418,gjuanita,3300000,773,
419,dudachanblog,16000,170,
420,ishmadiaries,3341,1268,
421,stanskincare,511,136,
422,itshazeldiaries,1945,723,
423,skinwithclods,1450,1372,
424,greyyychoi,4650,180,
425,heartz4pitii,13000,297,
426,hellogoldenv,217400,188,
427,hkjennylee,246300,514,
428,iitsanyax,16900,232,
429,ingridklh,48000,1243,
430,jennytipton_,1100000,1291,
431,jhkjoykim,2390,76,
432,kehlaniaa,100800,361,
433,kevinnkylee,150800,265,
434,kingdhiyaf,11300,769,
435,ldgcool,54700,375,
436,loanvu_uk,94100,228,
437,mattrandon,1300000,509,
438,mynameisrifah,280200,830,
439,mypurplejournal,1082,277,
440,izzychen,181400,529,
441,melon_park,1300000,177,
442,sunyatoo,208700,1854,
443,venus.onthego,14400,933,
444,_lilyis,420300,93,
445,thelisters85,122900,533,
446,keytoglo,126,38,
447,abbyrosemaureen,23500,332,
448,denitsab3auty,993,374,
449,lilac__05,1650,1588,
450,dreamyglowyskin,306,45,
451,bethyful_kbeauty,1053,279,
452,maddysbeautytalk,446,238,
453,lovemisomeskin,1163,1733,
454,ugcwithkpm,1149,1136,
455,betweendots,597,83,
456,thechampagnerene,51700,3334,
457,chen.ugc,1797,94,
458,pinksandrosie,295,423,
459,skincarewithxia_,1804,2129,
460,skinhippie27,2525,3275,
461,klea.sotiri,2655,54,
462,zahraxbeauty,324,237,
463,katysayfi,1561,10,
464,sonuugrg_,1283,165,
465,anika_kozlova,39500,732,
466,itstessjohnson,1257,456,
467,looksbyhiba,342,638,
468,itsmelissaga,5317,477,
469,zoe.aesthetic.grw,1328,104,
470,thedikshadiary,101,47,
471,shopwith.ael,61600,150,
472,miuarcie,10700,123,
473,findsbykaryle,63500,1325,
474,grwtzi,78700,16,
475,justinescameraroll,278400,511,
476,drheejink,203100,105,
477,lifestylewithfatima,3217,1198,
478,bosslady__carla,10900,4419,
479,thehydratedhunny,771,423,
480,brendasbeautyblog_,444,308,
481,curateandglow,1090,1081,
482,skin_vestment,69800,496,
483,nizvetsbeautydiaries,1087,2983,
484,hijabiskinfluencer,767,147,
485,skincarepessimist,23,37,
486,mottaskin,2445,273,
487,zwonylen,45000,5390,
488,stephaniienini,5156,1284,
489,glam._diaries,3097,2714,
490,sashask1n,1277,677,
491,ugc.by.zainab,1271,1720,
492,dearkisha_,1058,409,
493,nattylattie,511,572,
494,celinedamji,642,99,
495,liansloves,1299,893,
496,andie_sorto,1805,9996,
497,melinamujer,278,316,
498,irisoyeon_,206,219,
499,arvika_j,6169,278,
500,_arishasheikh,559,136,
501,annatheshum,9842,84,
502,hanahdewybae,4827,2057,
503,gemavm10,1236,2890,
504,gemavm10,1236,2890,
505,keirrawebster,11700,2789,
506,keirrawebster,11700,2789,
507,skincarte,121700,170,
508,skincarte,121700,170,
509,eucarolsoaress,1100000,1098,
510,eucarolsoaress,1100000,1098,
511,woojungyi,100300,145,
512,woojungyi,100300,145,
513,glassskinsecret,884900,19,
514,glassskinsecret,884900,19,
515,tammyyin,73300,195,
516,tammyyin,73300,195,
517,benneiley,527300,191,
518,benneiley,527300,191,
519,cynthia.cho,63800,350,
520,cynthia.cho,63800,350,
521,skincarebyjessi,550600,426,
522,skincarebyjessi,550600,426,
523,arinekim,383300,949,
524,arinekim,383300,949,
525,taxinoodle,74300,181,
526,taxinoodle,74300,181,
527,violetery,31400,37,
528,violetery,31400,37,
529,aprilderoca,56300,678,
530,aprilderoca,56300,678,
531,geiwosushi,308600,225,
532,geiwosushi,308600,225,
533,simplyskn,39600,272,
534,simplyskn,39600,272,
535,clairesua,210900,355,
536,clairesua,210900,355,
537,cupid.diaries,21900,406,
538,cupid.diaries,21900,406,
539,tchaoskin,22800,527,
540,tchaoskin,22800,527,
541,tailatai_,44100,192,
542,tailatai_,44100,192,
543,stephaniesshin,18000,63,
544,stephaniesshin,18000,63,
545,skincarebynicolex,33500,10,
546,skincarebynicolex,33500,10,
547,ugcbyjamie,10600,3806,
548,ugcbyjamie,10600,3806,
549,glowwithava,1700000,327,
550,glowwithava,1700000,327,
551,cardonofficial,6208,141,
552,cardonofficial,6208,141,
553,badblory,2351,974,
554,badblory,2351,974,
555,yea.michelle,4996,474,
556,yea.michelle,4996,474,
557,yesskinsy,10300,137,
558,yesskinsy,10300,137,
559,gloriarmg,3654,872,
560,gloriarmg,3654,872,
561,sorfinafavs,2209,522,
562,sorfinafavs,2209,522,
563,thisizjim,4143,1135,
564,thisizjim,4143,1135,
565,sya.skin,7433,441,
566,sya.skin,7433,441,
567,skincarewithbrit_,750,363,
568,skincarewithbrit_,750,363,
569,skincareuprising,667,119,
570,skincareuprising,667,119,
571,skinlovate,1082,741,
572,skinlovate,1082,741,
573,beauty_viridiana_,6027,1659,
574,beauty_viridiana_,6027,1659,
575,emileerachel,2119,4891,
576,emileerachel,2119,4891,
577,timeforrice,919,1549,
578,timeforrice,919,1549,
579,jhamheartsthis,2878,599,
580,jhamheartsthis,2878,599,
581,aglimpseofglow,60,82,
582,aglimpseofglow,60,82,
583,mariana.ugc,2313,1075,
584,mariana.ugc,2313,1075,
585,tashfia____,1425,360,
586,tashfia____,1425,360,
