username,median_views,median_comments,average_views,average_comments,last_video_date,verified,top_hashtags
christineeugc,1.1K,3.0,1.6K,3.0,2023-12-14,False,"ugc, foryou, kbeauty, ugccreator, koreanskincare, skincare, skintok, foryourpage, ugcexample, ugccommunity, glassskin, skincareroutine, beautytok, skincaretips, numbuzin"
cinthia_dosamples,424,9.0,780,11.0,2024-03-13,False,"creatorsearchinsights, beautycontentcreator, kbeauty, beautycommunity, ugc, skincare, newmakeup, unboxing, lipgloss, stylekorean, koreanmakeup, makeup, beauty, giftedby, stylekoreanpartner"
cla.audia,393,1.0,4.6K,6.0,2020-01-10,False,"breakup, ex, healingjourney, healingprocess, healingtiktok, tatemcrae, itsokimok, beachvibes, beach, aries, pov, kbeauty, single, gifted, bluespirulina"
clahh__,,,,,2024-01-18,False,"glassskin, skincare, skincareroutine, bestseller, clearskin, skincaretips, cleansingoil, beauty, balea, dm, doublecleansing, foamcleanser, kbeauty, koreanskincare, korean"
creativelyamanda,476,8.0,796,9.0,2025-03-02,False,"starwars, fyp, ugccreator, fypage, revengeofthesith, starwarstiktok, seasonoftheforce, ugc, starwarsoutfits, disneyworld, skincare, may4th, r2d2, hollywoodstudios, summerfridays"
crystalschob3,512,1.0,2.6K,2.0,2024-08-30,False,"fyp, healthy, happyathome, healing, godisgood, capcut, travel, fallaesthetic, fall, outfitinspo, contentcreator, girlthings, fashion, hollister, ootd"
curateandglow,378,1.0,875,1.0,2022-04-20,False,"skincare, skincareroutine, skincarerecommendations, skincarefaves, skincareproducts, glowyskin, skincarefavorites, makeup, skincaretips, skincaretiktok, skincareseries, spf, grwm, glowymakeup, fyp"
curly.qaya,788,10.0,2.3K,13.0,2022-07-06,False,"curlswithqaya, southafricancontentcreator, curlyhair, beginnercurlyhair, curlyhairbeginner, creatorsearchinsights, fyp, architecturestudent, affordablehairproducts, curlyhairstyles, plussizefashion, mrpbethenext, bestcurlyhairproducts, mrpricefashion, architecturegraduate"
d_dudley4,308,4.0,400,4.0,2022-07-19,False,"fyp, explorepage, holiday, fun, happyholidays, adventcalendar, emotionalsupportpals, plushies, cute, jointoopen, letsopenthis, toys, christmas2024, christmaslscoming, gifted"
danielaapryl,1.6K,11.0,4.0K,14.0,2020-08-16,False,"type4hair, fyp, naturalhair, shortnaturalhair, foryoupage, naturalhairstyles, washandgoroutine, washday, washandgo, scalpmassager, naturalhairdaily, curlyhairtutorial, protectivestyles, countdown, twa"
